trial_id,split,seed,exec_order,replicate,image_cache_state,cpu_psi_level,cpu_oversubscribe_ratio,ttfs_clusterip_sec,ttfs_podip_sec,ttfs_naive_clusterip_sec,ts_utc,pass,error,uncached_bytes,psi_cpu_avg10,psi_cpu_avg10_pretrial_baseline,thermal_throttle_events_during_trial,thermal_throttle_detected,target_node,cache_image
pilot-001-r2,pilot,42,1,2,warm,none,0,3.141583,3.627629,-0.088710,2026-09-09T05:54:09.9382439Z,true,,0,0.32,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-002-r3,pilot,42,2,3,warm,none,0,2.181054,2.826693,-0.283615,2026-09-09T05:54:58.1441533Z,true,,0,0.33,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-003-r3,pilot,42,3,3,warm,high,3,3.328249,4.862210,-0.064102,2026-09-09T05:56:01.3299746Z,true,,0,53.15,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-004-r2,pilot,42,4,2,cold,high,3,6.484962,9.089222,-0.013675,2026-09-09T05:57:41.1835524Z,true,,3147220,51.86,2.11,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-005-r2,pilot,42,5,2,warm,threshold,2,2.683088,4.239045,-0.675927,2026-09-09T05:59:10.7886663Z,true,,0,48.63,2.89,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-006-r3,pilot,42,6,3,cold,none,0,14.061268,14.982533,0.269251,2026-09-09T06:00:26.74102Z,true,,3147220,2.13,2.42,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-007-r2,pilot,42,7,2,warm,high,3,2.857084,3.457594,0.083885,2026-09-09T06:01:38.0943126Z,true,,0,50.26,0.17,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-008-r3,pilot,42,8,3,cold,high,3,13.594680,15.346556,-0.705330,2026-09-09T06:03:15.2529387Z,true,,3147220,51.41,2.19,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-009-r3,pilot,42,9,3,cold,threshold,2,6.315505,7.447528,-0.558398,2026-09-09T06:04:50.837608Z,true,,3147220,48.56,2.87,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-010-r3,pilot,42,10,3,warm,threshold,2,2.452989,8.548543,-0.533751,2026-09-09T06:06:23.2666963Z,true,,0,46.54,2.11,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-011-r1,pilot,42,11,1,warm,threshold,2,2.644367,2.820954,-0.094314,2026-09-09T06:07:56.7658718Z,true,,0,50.19,2.15,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-012-r1,pilot,42,12,1,warm,high,3,2.857687,2.869931,-0.144377,2026-09-09T06:09:26.3431511Z,true,,0,52.63,2.43,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-013-r2,pilot,42,13,2,cold,threshold,2,15.322242,17.050249,0.013117,2026-09-09T06:11:06.7239129Z,true,,3147220,46.9,2.36,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-014-r1,pilot,42,14,1,cold,none,0,14.040884,14.362962,0.248871,2026-09-09T06:12:21.2137335Z,true,,3147220,2.22,2.82,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-015-r1,pilot,42,15,1,cold,threshold,2,7.274762,7.451099,0.019019,2026-09-09T06:13:29.4865112Z,true,,3147220,50.61,0.21,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-016-r1,pilot,42,16,1,warm,none,0,2.445612,2.104540,-0.597739,2026-09-09T06:14:44.5112443Z,true,,0,2.05,2.56,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-017-r2,pilot,42,17,2,cold,none,0,2.545390,2.593676,-0.816431,2026-09-09T06:15:32.8828163Z,true,,3147220,0.38,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-018-r1,pilot,42,18,1,cold,high,3,6.571659,6.681863,-0.723525,2026-09-09T06:16:44.3234702Z,true,,3147220,51.68,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
