trial_id,split,seed,exec_order,replicate,image_cache_state,cpu_psi_level,cpu_oversubscribe_ratio,ttfs_clusterip_sec,ttfs_podip_sec,ttfs_naive_clusterip_sec,ts_utc,pass,error,uncached_bytes,psi_cpu_avg10,psi_cpu_avg10_pretrial_baseline,thermal_throttle_events_during_trial,thermal_throttle_detected,target_node,cache_image
pilot-001-r3,pilot,42,1,3,warm,none,0,3.117418,3.132657,0.219016,2026-09-09T06:22:59.8184152Z,true,,0,0.32,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-002-r6,pilot,42,2,6,cold,threshold,2,7.205079,7.240791,0.023818,2026-09-09T06:24:11.8123168Z,true,,3147220,47.44,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-003-r1,pilot,42,3,1,cold,none,0,6.352647,7.050147,-0.659690,2026-09-09T06:25:30.1297032Z,true,,3147220,1.84,2.26,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-004-r6,pilot,42,4,6,warm,threshold,2,2.496591,3.164577,-0.752333,2026-09-09T06:26:38.5847796Z,true,,0,47.68,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-005-r11,pilot,42,5,11,warm,none,0,2.636969,2.189276,-0.519548,2026-09-09T06:27:53.6632558Z,true,,0,2.19,2.78,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-006-r12,pilot,42,6,12,cold,high,3,2.756885,3.440719,1.228154,2026-09-09T06:29:01.8352419Z,true,,3147220,50.18,0.05,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-007-r12,pilot,42,7,12,cold,none,0,13.688977,14.504917,-0.608827,2026-09-09T06:30:19.6045585Z,true,,3147220,2.07,2.33,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-008-r2,pilot,42,8,2,warm,none,0,1.776397,2.597937,-0.503040,2026-09-09T06:31:06.6425368Z,true,,0,0.46,0.2,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-009-r15,pilot,42,9,15,cold,none,0,13.104961,14.608746,-0.513985,2026-09-09T06:31:53.6566456Z,true,,3147220,0.52,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-010-r2,pilot,42,10,2,cold,threshold,2,6.222865,7.915003,-0.404236,2026-09-09T06:33:02.9884793Z,true,,3147220,45.82,0.03,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-011-r11,pilot,42,11,11,cold,high,3,6.370346,7.038487,-0.175890,2026-09-09T06:34:40.8795528Z,true,,3147220,53.37,2.17,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-012-r7,pilot,42,12,7,cold,threshold,2,6.601995,8.146161,0.134828,2026-09-09T06:36:14.9896708Z,true,,3147220,48.85,2.41,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
